"filename", "language", "Markdown", "Docker", "YAML", "Makefile", "JSON with Comments", "JSON", "TypeScript", "Properties", "Shell Script", "PostCSS", "Ignore", "comment", "blank", "total"
"/nfs/homes/lwillis/Documents/ft_transcendence/.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 1, 9
"/nfs/homes/lwillis/Documents/ft_transcendence/.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 2, 2, 9
"/nfs/homes/lwillis/Documents/ft_transcendence/Dockerfile", "Docker", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 11, 43
"/nfs/homes/lwillis/Documents/ft_transcendence/Makefile", "Makefile", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"/nfs/homes/lwillis/Documents/ft_transcendence/README.md", "Markdown", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 63
"/nfs/homes/lwillis/Documents/ft_transcendence/docker-compose.yml", "YAML", 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 12, 8, 129
"/nfs/homes/lwillis/Documents/ft_transcendence/hc_vault/tests/file_vault_match.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 2, 8
"/nfs/homes/lwillis/Documents/ft_transcendence/hc_vault/tests/process_env_has_vars.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 2, 3, 8
"/nfs/homes/lwillis/Documents/ft_transcendence/package-lock.json", "JSON", 0, 0, 0, 0, 0, 3759, 0, 0, 0, 0, 0, 0, 1, 3760
"/nfs/homes/lwillis/Documents/ft_transcendence/package.json", "JSON", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 1, 37
"/nfs/homes/lwillis/Documents/ft_transcendence/src/app.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 167, 0, 0, 0, 0, 21, 24, 212
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/api/accountEndpoints.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 53, 38, 193
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/api/apiEndpoints.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 36, 12, 83
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/api/authEndpoints.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 1, 18, 110
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/api/foesEndpoints.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 8, 37
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/api/friendsEndpoints.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 12, 56
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/api/gameEndpoints.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/api/matchEndpoints.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 11, 7, 33
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/api/matchResultsEndpoints.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 6, 3, 14
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/api/profileEndpoints.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 9, 43
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/api/tournamentEndpoints.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 7, 42
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/api/userChatsEndpoints.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 4, 22
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/api/userEndpoints.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 1, 10, 76
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/db/accountDb.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 18, 8, 106
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/db/defaultAvatar.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 284, 0, 0, 0, 0, 0, 1, 285
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/db/foesDb.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 10, 8, 73
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/db/friendsDb.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 9, 8, 74
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/db/gameChatsDb.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 6, 6, 57
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/db/gameDb.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 50, 13, 120
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/db/jwt.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 9, 74
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/db/matchResultsDb.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 3, 6, 59
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/db/matchesDb.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 9, 71
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/db/tournamentsDb.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 17, 155
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/db/userChatsDb.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 12, 10, 115
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/db/userDB.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1692, 0, 0, 0, 0, 56, 57, 1805
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/devTools.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 2, 28
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/game/game.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 1, 9
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/old/localTournamentHtml.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 5, 34
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/old/remoteTournament.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 4, 31
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/old/tournamentDb.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 36, 8, 149
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/old/tournamentHtml.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 12, 81
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/old/tournamentMatchHtml.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 18, 126
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/pages/accountPage.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 4, 19
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/pages/gamePage.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 1, 9, 67
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/pages/homePage.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 2, 19
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/pages/userChatsPage.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 7, 41
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/pages/usersPage.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 5, 30
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/sockets/gameMessages.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 25
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/sockets/matchMessages.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 6, 54
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/sockets/profileMessages.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 4, 15
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/sockets/serverSocket.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 11, 7, 96
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/sockets/tournamentMessages.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 2, 16, 140
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/sockets/userMessages.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 8, 10, 45
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/views/accountView.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 131, 0, 0, 0, 0, 0, 5, 136
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/views/dialogsView.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 2, 44
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/views/foesView.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 8, 67
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/views/frameView.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 6, 5, 53
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/views/friendsView.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 3, 10, 73
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/views/gameView.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 11, 72
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/views/homeView.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 2, 23
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/views/loggedOutView.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 4, 59
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/views/matchLobbyView.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 6, 54
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/views/navbarView.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 137, 0, 0, 0, 0, 0, 20, 157
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/views/profileView.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 11, 71
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/views/tournamentLobbyView.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 8, 78
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/views/tournamentView.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 146, 0, 0, 0, 0, 0, 20, 166
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/views/userChatsView.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 6, 59
"/nfs/homes/lwillis/Documents/ft_transcendence/src/backend/views/usersView.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 3, 7, 54
"/nfs/homes/lwillis/Documents/ft_transcendence/src/common/dynamicElements.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 9, 10, 57
"/nfs/homes/lwillis/Documents/ft_transcendence/src/common/interfaces.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 175, 0, 0, 0, 0, 2, 26, 203
"/nfs/homes/lwillis/Documents/ft_transcendence/src/common/translations.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 216, 0, 0, 0, 0, 2, 15, 233
"/nfs/homes/lwillis/Documents/ft_transcendence/src/frontend/css/styles.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"/nfs/homes/lwillis/Documents/ft_transcendence/src/frontend/js/class/ball.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 49, 25, 155
"/nfs/homes/lwillis/Documents/ft_transcendence/src/frontend/js/class/game.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 54, 44, 205
"/nfs/homes/lwillis/Documents/ft_transcendence/src/frontend/js/class/ground.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 21, 20, 81
"/nfs/homes/lwillis/Documents/ft_transcendence/src/frontend/js/class/player.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 52, 31, 183
"/nfs/homes/lwillis/Documents/ft_transcendence/src/frontend/js/class/shape.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 22, 18, 99
"/nfs/homes/lwillis/Documents/ft_transcendence/src/frontend/js/devButtons.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 3, 28
"/nfs/homes/lwillis/Documents/ft_transcendence/src/frontend/js/events.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 46, 7, 94
"/nfs/homes/lwillis/Documents/ft_transcendence/src/frontend/js/game/gamePage.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 15, 16, 103
"/nfs/homes/lwillis/Documents/ft_transcendence/src/frontend/js/game/localTournament.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 2, 8, 62
"/nfs/homes/lwillis/Documents/ft_transcendence/src/frontend/js/game/tournament.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"/nfs/homes/lwillis/Documents/ft_transcendence/src/frontend/js/index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 13, 9, 77
"/nfs/homes/lwillis/Documents/ft_transcendence/src/frontend/js/navbar.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 3, 7, 52
"/nfs/homes/lwillis/Documents/ft_transcendence/src/frontend/js/sockets/clientSocket.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 14, 15, 118
"/nfs/homes/lwillis/Documents/ft_transcendence/src/frontend/js/sockets/remoteMatchesMessages.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 6, 14, 88
"/nfs/homes/lwillis/Documents/ft_transcendence/src/frontend/js/sockets/remoteTournamentsMessages.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 7, 23, 138
"/nfs/homes/lwillis/Documents/ft_transcendence/src/frontend/js/sockets/userMessages.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 6, 7, 55
"/nfs/homes/lwillis/Documents/ft_transcendence/src/frontend/js/user/account.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 237, 0, 0, 0, 0, 31, 31, 299
"/nfs/homes/lwillis/Documents/ft_transcendence/src/frontend/js/user/loggedOut.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 133, 0, 0, 0, 0, 0, 22, 155
"/nfs/homes/lwillis/Documents/ft_transcendence/src/frontend/js/user/userChats.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 5, 50
"/nfs/homes/lwillis/Documents/ft_transcendence/src/frontend/js/user/usersold.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 3, 26
"/nfs/homes/lwillis/Documents/ft_transcendence/src/frontend/js/users/profile.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 10, 104
"/nfs/homes/lwillis/Documents/ft_transcendence/src/frontend/js/users/users.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 13, 108
"/nfs/homes/lwillis/Documents/ft_transcendence/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"/nfs/homes/lwillis/Documents/ft_transcendence/vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 2, 26
"/nfs/homes/lwillis/Documents/ft_transcendence/waf/Dockerfile", "Docker", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/nfs/homes/lwillis/Documents/ft_transcendence/waf/tests/waf_checks.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 8, 34, 119
"/nfs/homes/lwillis/Documents/ft_transcendence/waf/tools/REQUEST-900-EXCLUSION-RULES-BEFORE-CRS.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 22, 4, 36
"/nfs/homes/lwillis/Documents/ft_transcendence/waf/tools/REQUEST-999-LOCAL-POLICY-AFTER-CRS.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 8, 7, 28
"Total", "-", 52, 22, 109, 7, 25, 3795, 7237, 28, 85, 1, 8, 815, 1035, 13219